sample_id,temperature_kelvin,log_conductivity,pred_baseline_dnn
412,1223.15,-3.4518641077313896,-3.58393
307,1273.15,-1.3872161432802645,-1.2049452
354,1223.15,-1.105362037333125,-1.1149263
676,1123.15,-1.5829778059812956,-1.5491081
621,1123.15,-2.0132282657337552,-1.8444412
825,973.15,-2.379143750546718,-2.3370109
1341,923.15,-2.623127397353751,-2.979217
797,873.15,-1.9957647752833225,-2.0534506
568,1073.15,-1.295972503679785,-1.5404981
78,1223.15,-1.0409586076789064,-1.0344858
452,773.15,-4.448646307277192,-4.359833
388,823.15,-2.235418621737185,-2.2566972
958,1073.15,-1.7274158508899577,-1.6731062
594,973.15,-1.489842498055717,-1.8843523
671,923.15,-2.5566148197730656,-2.531259
45,1073.15,-1.285670240254767,-1.5132841
351,922.80786,-1.6871862528637365,-1.6430992
117,1073.15,-1.7695510786217261,-1.4566294
276,1673.15,-0.5072396109731625,-0.4978319
422,1273.15,-3.4577461378836394,-3.5030274
80,1223.15,-0.8728952016351923,-0.96323514
51,773.15,-3.8218003008519403,-4.4657373
493,1273.15,-1.1944948233485337,-1.4153141
827,923.15,-2.658277798509813,-2.6389422
576,973.15,-1.5796643035241895,-1.6541709
1130,823.15,-3.0536951363739706,-3.008296
285,1473.15,-1.3565473235138126,-0.75962925
1331,873.15,-3.2191108888216666,-2.9712362
838,1073.15,-1.684496267898296,-1.5690079
923,1023.15,-1.9096713931765776,-1.9312274
617,1073.15,-2.167491087293764,-1.8003026
1004,873.15,-2.7161788340569406,-2.7603421
928,973.15,-2.1731480521793562,-2.1860774
855,823.15,-2.751428284355847,-2.6402454
258,563.15,-6.22,-5.942039
69,1173.15,-1.0362121726544447,-0.93636215
339,1022.92017,-1.3357751346303994,-1.343475
170,673.15,-3.451398768273663,-3.3060484
535,973.15,-1.9925059727101546,-1.8843523
1156,1123.15,-1.6104518984734186,-1.422302
1301,923.15,-2.469230731263728,-2.3442407
53,773.15,-4.125796591080987,-4.4427958
317,1073.15,-1.6989700043360187,-2.7932148
216,1073.15,-1.2806024135761165,-1.2003338
1047,1123.15,-1.3594544583284063,-1.3829736
34,973.15,-1.7166987712964503,-1.2456632
655,1073.15,-1.8336813228091555,-1.9947006
595,923.15,-1.7397015368378876,-2.0236835
475,1273.15,-0.8728060961932289,-0.98691237
906,973.15,-2.373934498224092,-2.3181334
165,673.15,-3.396855627379818,-3.3272371
358,973.15,-1.7646183585041655,-2.1778603
